,,TOTAL,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#14,#14,#14,#14,#14
,,,May 7,May 21,Jun 3,Jun 25,Jul 10,Jul 29,Aug 13,Aug 27,Sep 29,Oct 14,Oct 27,Nov 10,Nov 24,Dec 1,Jan 12,Jan 19,Jan 26,Mar 4,Mar 11
OM,Ads Spend,"RM220,531.80","RM10,129.42","RM11,052.88","RM15,976.66","RM11,187.20","RM20,358.09","RM16,851.06","RM14,911.60","RM10,002.40","RM7,932.91","RM10,284.93","RM9,343.49","RM9,484.14","RM16,997.23","RM12,627.32","RM8,581.37","RM7,321.30","RM14,359.13","RM6,972.50","RM6,158.17"
,Lead,5464,407,325,434,361,481,519,350,244,252,231,261,269,415,203,177,123,179,143,90
,Cost Per Lead,RM44.25,RM24.89,RM34.01,RM36.81,RM30.99,RM42.32,RM32.47,RM42.60,RM40.99,RM31.48,RM44.52,RM35.80,RM35.26,RM40.96,RM62.20,RM48.48,RM59.52,RM80.22,RM48.76,RM68.42
,Show Up,2600,205,202,248,158,200,203,124,138,135,136,153,83,114,177,91,47,101,49,36
,Show Up Rate,47.58%,50.37%,62.15%,57.14%,43.77%,41.58%,39.11%,35.43%,56.56%,53.57%,58.87%,58.62%,30.86%,27.47%,87.19%,51.41%,38.21%,56.42%,34.27%,40.00%
,Buyer,190,8,13,25,15,12,9,9,13,11,9,19,13,4,5,6,7,4,4,4
,Conversion Rate,7.94%,3.90%,6.44%,10.08%,9.49%,6.00%,4.43%,7.26%,9.42%,8.15%,6.62%,12.42%,15.66%,3.51%,2.82%,6.59%,14.89%,3.96%,8.16%,11.11%
,CPA,"RM1,510.79","RM1,266.18",RM850.22,RM639.07,RM745.81,"RM1,696.51","RM1,872.34","RM1,656.84",RM769.42,RM721.17,"RM1,142.77",RM491.76,RM729.55,"RM4,249.31","RM2,525.46","RM1,430.23","RM1,045.90","RM3,589.78","RM1,743.13","RM1,539.54"
MB,Ads Spend,"RM9,371.37",,,,,,,,,,,,,,,"RM6,049.40","RM3,321.97",,,
,Lead,125,,,,,,,,,,,,,,,89,36,,,
,Cost Per Lead,RM80.12,,,,,,,,,,,,,,,RM67.97,RM92.28,,,
,Show Up,35,,,,,,,,,,,,,,,25,10,,,
,Show Up Rate,28.00%,,,,,,,,,,,,,,,28.09%,27.78%,,,
,Buyer,1,,,,,,,,,,,,,,,0,1,,,
,Conversion Rate,5.00%,,,,,,,,,,,,,,,0.00%,10.00%,,,
,CPA,#DIV/0!,,,,,,,,,,,,,,,#DIV/0!,"RM3,321.97",,,
NM,Ads Spend,"RM11,023.03",,,,,,,,,,,,,,,,,,"RM7,181.73","RM3,841.30"
,Lead,310,,,,,,,,,,,,,,,,,,209,101
,Cost Per Lead,RM36.20,,,,,,,,,,,,,,,,,,RM34.36,RM38.03
,Show Up,134,,,,,,,,,,,,,,,,,,88,46
,Show Up Rate,43.23%,,,,,,,,,,,,,,,,,,42.11%,45.54%
,Buyer,4,,,,,,,,,,,,,,,,,,3,1
,Conversion Rate,2.79%,,,,,,,,,,,,,,,,,,3.41%,2.17%
,CPA,"RM3,117.61",,,,,,,,,,,,,,,,,,"RM2,393.91","RM3,841.30"