       ,,,,TOTAL,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#12,#13,#14,#14,#14,#14,#14,#14
,,% Based On Opt in,% Based On Showup,,May 7,May 21,Jun 3,Jun 25,Jul 10,Jul 29,Aug 4,Aug 13,Aug 18,Aug 27,Sep 3,Sep 11,Sep 29,Oct 14,Oct 27,Nov 10,Nov 24,Dec 1,Jan 12,Jan 19,Jan 26,Mar 4,Mar 11
DYD,Full,,,157,7,10,23,13,9,8,4,5,1,13,2,2,7,5,12,10,3,4,2,7,3,4,3
,Deposit,,,19,0,1,1,1,2,0,0,1,0,0,0,0,0,1,5,2,1,0,0,1,1,1,1
,Intsallment,,,29,1,2,1,1,1,1,0,3,0,0,0,0,4,3,2,1,0,1,4,1,0,2,1
,Total Student Pax ,,,205,8,13,25,15,12,9,4,9,1,13,2,2,11,9,19,13,4,5,6,9,4,7,5
,Closing Showup Pax,,,104,140,156,181,117,140,117,,76,,118,,,101,108,99,57,78,127,80,40,56,101,80
,Closing % (Total),,,10.55%,5.71%,8.33%,13.81%,12.82%,8.57%,7.73%,,11.84%,,11.02%,,,10.89%,8.33%,19.19%,22.81%,5.13%,3.94%,7.50%,22.50%,7.14%,6.93%,6.25%
BUYER OCUPATION,企业家/老板 Business Owner,,14.57%,29,2,4,3,1,3,2,0,2,0,1,1,1,1,0,3,2,0,0,1,1,1,0,0
,领导 Leader,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,打工族 Employee,,42.21%,84,4,2,14,8,5,3,1,5,1,7,0,0,7,3,11,4,1,1,3,3,1,0,0
,自由业 Freelancer,,12.56%,25,1,1,4,1,1,1,0,1,0,2,1,1,2,4,0,0,1,1,2,1,0,0,0
,Retired,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,MIssing,,11.06%,22,0,1,1,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,7,5
,其他 Others,,18.09%,36,1,5,3,4,1,3,3,1,0,2,0,0,2,1,2,5,0,0,0,3,0,0,0
"DYD 
PROGRAM",vid7,3.78%,6.57%,55,1,2,9,13,7,5,3,4,1,2,0,1,1,2,2,1,0,0,1,0,0,0,0
,chart,5.49%,5.36%,30,4,6,5,0,0,0,0,1,0,3,1,1,0,1,2,0,0,0,1,4,1,0,0
,timing_problem2,4.15%,6.18%,17,3,1,4,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0
,Octvid1,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,2,0,0,0,0,0
,Octadvid1,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1
,June_Advid2,6.94%,12.82%,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
,JulyVid_Borntime,2.69%,5.81%,5,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
,ivisPic_Free,2.00%,2.84%,5,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
,JuneAd1,2.47%,4.65%,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
,timing_problem_vid2,2.73%,4.17%,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,timing_problem1,2.54%,4.05%,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,JuneAd3roadppl,3.00%,8.33%,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,June_Advid1,4.35%,8.33%,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
,Flyingstar,,,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
,vid4_strategy,4.76%,5.00%,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mayadvid3,2.94%,7.14%,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,AugPic2_Cure,,,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Sepvid_sign,,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
,May_Advid3,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,May_Advid1,14.29%,11.11%,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2026Janpic2,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,2026Janpic4,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,video7,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,image-ad-01,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,ivispic_purplestarastrologycourse,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,planfortheyear,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,charttoldyou,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,flyingstar,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,ivispic_pattern ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,HK-timingycle,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vid7,3.78%,6.57%,55,1,2,9,13,7,5,3,4,1,2,0,1,1,2,2,1,0,0,1,0,0,0,0
,timing_problem2,4.15%,6.18%,17,3,1,4,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0
,chart,5.49%,5.36%,30,4,6,5,0,0,0,0,1,0,3,1,1,0,1,2,0,0,0,1,4,1,0,0
,vid4_strategy,4.76%,5.00%,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,timing_problem_vid2,2.73%,4.17%,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,timing_problem1,2.54%,4.05%,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Mayadvid3,2.94%,7.14%,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,JuneAd3roadppl,3.00%,8.33%,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,JuneAd1,2.47%,4.65%,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
,June_Advid2,6.94%,12.82%,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
,JulyVid_Borntime,2.69%,5.81%,5,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
,June_Advid1,4.35%,8.33%,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
,May_Advid1,14.29%,11.11%,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ivisPic_Free,2.00%,2.84%,5,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
,Flyingstar,,,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
,AugPic2_Cure,,,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Sepvid_sign,,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
,Octvid1,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,2,0,0,0,0,0
,May_Advid3,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,Octadvid1,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1
,2026Janpic2,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,2026Janpic4,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,video7,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,image-ad-01,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,ivispic_purplestarastrologycourse,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,planfortheyear,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,charttoldyou,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,flyingstar,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,ivispic_pattern ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,HK-timingycle,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Missing UTM,,3.24%,10,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2
,Missing 996,,,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,1,0,0